Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Implement,Typepool,Event_Group,C_Event,ID
Field,Discus,0,0,NoSD,F20,U11,Male,II,12/6/2011,1/23/2014,.75K,,FieldF20U11MaleDiscus,FieldDiscusF20,FieldDiscusF20U11Male
Field,Discus,0,0,NoSD,F20,U14,Female,II,12/6/2011,1/23/2014,.75K,,FieldF20U14FemaleDiscus,FieldDiscusF20,FieldDiscusF20U14Female
Field,Discus,0,0,NoSD,F20,U14,Male,II,12/6/2011,1/23/2014,.75K,,FieldF20U14MaleDiscus,FieldDiscusF20,FieldDiscusF20U14Male
Field,Discus,0,0,NoSD,F20,U17,Female,II,12/6/2011,1/7/2019,1K,,FieldF20U17FemaleDiscus,FieldDiscusF20,FieldDiscusF20U17Female
Field,Discus,0,0,NoSD,F20,U17,Male,II,12/6/2011,1/7/2019,1.5K,,FieldF20U17MaleDiscus,FieldDiscusF20,FieldDiscusF20U17Male
Field,Discus,0,0,NoSD,F20,U20,Female,II,12/6/2011,1/23/2014,1K,,FieldF20U20FemaleDiscus,FieldDiscusF20,FieldDiscusF20U20Female
Field,Discus,0,0,NoSD,F20,U20,Male,II,12/6/2011,11/26/2018,1.75K,,FieldF20U20MaleDiscus,FieldDiscusF20,FieldDiscusF20U20Male
Field,Discus,0,0,NoSD,F20,U23,Female,II,12/6/2011,1/23/2014,1K,,FieldF20U23FemaleDiscus,FieldDiscusF20,FieldDiscusF20U23Female
Field,Discus,0,0,NoSD,F20,U23,Male,II,12/6/2011,1/23/2014,2K,,FieldF20U23MaleDiscus,FieldDiscusF20,FieldDiscusF20U23Male
Field,Discus,1.65,1.57,,F32,Adults,Female,CP,6/18/2004,12/6/2011,1K,,FieldF32AdultsFemaleDiscus,FieldDiscusF32,FieldDiscusF32AdultsFemale
Field,Discus,2.07,1.96,,F32,Adults,Male,CP,6/18/2004,12/6/2011,1K,,FieldF32AdultsMaleDiscus,FieldDiscusF32,FieldDiscusF32AdultsMale
Field,Discus,0.71,0.67,,F32,M35,Female,CP,6/18/2004,8/18/2013,1K,,FieldF32M35FemaleDiscus,FieldDiscusF32,FieldDiscusF32M35Female
Field,Discus,0.89,0.84,,F32,M35,Male,CP,6/18/2004,8/18/2013,1K,,FieldF32M35MaleDiscus,FieldDiscusF32,FieldDiscusF32M35Male
Field,Discus,0.71,0.67,,F32,M50,Female,CP,6/18/2004,1/26/2016,.75K,,FieldF32M50FemaleDiscus,FieldDiscusF32,FieldDiscusF32M50Female
Field,Discus,0.89,0.84,,F32,M50,Male,CP,6/18/2004,1/26/2016,.75K,,FieldF32M50MaleDiscus,FieldDiscusF32,FieldDiscusF32M50Male
Field,Discus,0.71,0.67,,F32,M60,Female,CP,6/18/2004,1/26/2016,.75K,,FieldF32M60FemaleDiscus,FieldDiscusF32,FieldDiscusF32M60Female
Field,Discus,0.89,0.84,,F32,M60,Male,CP,6/18/2004,1/26/2016,.75K,,FieldF32M60MaleDiscus,FieldDiscusF32,FieldDiscusF32M60Male
Field,Discus,0.32,0.3,,F32,U11,Female,CP,6/18/2004,1/23/2014,.75K,,FieldF32U11FemaleDiscus,FieldDiscusF32,FieldDiscusF32U11Female
Field,Discus,0.89,0.84,,F32,U11,Male,CP,6/18/2004,1/23/2014,.75K,,FieldF32U11MaleDiscus,FieldDiscusF32,FieldDiscusF32U11Male
Field,Discus,0.57,0.54,,F32,U14,Female,CP,6/18/2004,1/23/2014,.75K,,FieldF32U14FemaleDiscus,FieldDiscusF32,FieldDiscusF32U14Female
Field,Discus,3.36,3.19,,F32,U14,Male,CP,7/19/2011,1/23/2014,.75K,,FieldF32U14MaleDiscus,FieldDiscusF32,FieldDiscusF32U14Male
